flow,speed,time
12.0,54.0,2021-01-22 22:15:00
16.0,74.0,2021-01-22 22:30:00
12.0,54.0,2021-01-22 22:45:00
12.0,62.0,2021-01-22 23:00:00
14.0,73.0,2021-01-22 23:15:00
18.0,77.0,2021-01-22 23:30:00
15.0,100.0,2021-01-22 23:45:00
12.0,100.0,2021-01-23 00:00:00
12.0,100.0,2021-01-23 00:15:00
11.0,100.0,2021-01-23 00:30:00
17.0,100.0,2021-01-23 00:45:00
7.0,100.0,2021-01-23 01:00:00
14.0,51.0,2021-01-23 01:15:00
6.0,67.0,2021-01-23 01:30:00
6.0,51.0,2021-01-23 01:45:00
8.0,67.0,2021-01-23 02:00:00
5.0,51.0,2021-01-23 02:15:00
8.0,76.0,2021-01-23 02:30:00
5.0,51.0,2021-01-23 02:45:00
3.0,51.0,2021-01-23 03:00:00
6.0,67.0,2021-01-23 03:15:00
11.0,73.0,2021-01-23 03:30:00
13.0,62.0,2021-01-23 03:45:00
6.0,36.0,2021-01-23 04:00:00
9.0,62.0,2021-01-23 04:15:00
7.0,52.0,2021-01-23 04:30:00
11.0,62.0,2021-01-23 04:45:00
5.0,36.0,2021-01-23 05:00:00
6.0,28.0,2021-01-23 05:15:00
12.0,64.0,2021-01-23 05:30:00
10.0,59.0,2021-01-23 05:45:00
10.0,52.0,2021-01-23 06:00:00
5.0,4.0,2021-01-23 06:15:00
10.0,28.0,2021-01-23 06:30:00
7.0,59.0,2021-01-23 06:45:00
14.0,59.0,2021-01-23 07:00:00
10.0,52.0,2021-01-23 07:15:00
16.0,52.0,2021-01-23 07:30:00
17.0,47.0,2021-01-23 07:45:00
17.0,47.0,2021-01-23 08:00:00
18.0,66.0,2021-01-23 08:15:00
18.0,59.0,2021-01-23 08:30:00
23.0,67.0,2021-01-23 08:45:00
16.0,55.0,2021-01-23 09:00:00
16.0,53.0,2021-01-23 09:15:00
16.0,56.0,2021-01-23 09:30:00
29.0,68.0,2021-01-23 09:45:00
21.0,61.0,2021-01-23 10:00:00
19.0,52.0,2021-01-23 10:15:00
18.0,45.0,2021-01-23 10:30:00
27.0,64.0,2021-01-23 10:45:00
22.0,56.0,2021-01-23 11:00:00
33.0,64.0,2021-01-23 11:15:00
38.0,70.0,2021-01-23 11:30:00
30.0,57.0,2021-01-23 11:45:00
39.0,66.0,2021-01-23 12:00:00
29.0,52.0,2021-01-23 12:15:00
30.0,50.0,2021-01-23 12:30:00
24.0,44.0,2021-01-23 12:45:00
37.0,72.0,2021-01-23 13:00:00
46.0,71.0,2021-01-23 13:15:00
44.0,70.0,2021-01-23 13:30:00
43.0,62.0,2021-01-23 13:45:00
31.0,59.0,2021-01-23 14:00:00
38.0,64.0,2021-01-23 14:15:00
37.0,65.0,2021-01-23 14:30:00
33.0,58.0,2021-01-23 14:45:00
29.0,54.0,2021-01-23 15:00:00
35.0,56.0,2021-01-23 15:15:00
30.0,52.0,2021-01-23 15:30:00
31.0,50.0,2021-01-23 15:45:00
30.0,51.0,2021-01-23 16:00:00
35.0,48.0,2021-01-23 16:15:00
32.0,53.0,2021-01-23 16:30:00
33.0,55.0,2021-01-23 16:45:00
34.0,59.0,2021-01-23 17:00:00
40.0,65.0,2021-01-23 17:15:00
25.0,52.0,2021-01-23 17:30:00
31.0,69.0,2021-01-23 17:45:00
31.0,72.0,2021-01-23 18:00:00
22.0,63.0,2021-01-23 18:15:00
27.0,68.0,2021-01-23 18:30:00
29.0,62.0,2021-01-23 18:45:00
24.0,61.0,2021-01-23 19:00:00
15.0,55.0,2021-01-23 19:15:00
17.0,67.0,2021-01-23 19:30:00
20.0,39.0,2021-01-23 19:45:00
20.0,70.0,2021-01-23 20:00:00
23.0,76.0,2021-01-23 20:15:00
22.0,70.0,2021-01-23 20:30:00
15.0,65.0,2021-01-23 20:45:00
17.0,73.0,2021-01-23 21:00:00
13.0,67.0,2021-01-23 21:15:00
10.0,41.0,2021-01-23 21:30:00
14.0,64.0,2021-01-23 21:45:00
17.0,78.0,2021-01-23 22:00:00
